PlayerName,Born,Height,Hand,LinkPlayer
Boris Nicola Bakalov,Muenster,183.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/boris-nicola-bakalov/bf34/player-activity?year=all&matchType=Singles
Nikita Kryvonos,,,,https://www.atptour.com/en/players/nikita-kryvonos/k826/player-activity?year=all&matchType=Singles
Lennart Zynga,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lennart-zynga/z357/player-activity?year=all&matchType=Singles
Moos Sporken,"Haarlem, Netherlands",183.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/moos-sporken/sn86/player-activity?year=all&matchType=Singles
James Junior Storme,,,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/james-junior-storme/sp33/player-activity?year=all&matchType=Singles
Jesper Brunstrom,,,,https://www.atptour.com/en/players/jesper-brunstrom/bf41/player-activity?year=all&matchType=Singles
Remy Chala,,,"Ambidextrous, Two-Handed Backhand",https://www.atptour.com/en/players/remy-chala/ch53/player-activity?year=all&matchType=Singles
Kevin Kaczynski,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/kevin-kaczynski/kd88/player-activity?year=all&matchType=Singles
Ivan Gomez Mantilla,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/ivan-gomez-mantilla/gd39/player-activity?year=all&matchType=Singles
Victor Girat Magin,"Paris, France",183.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/victor-girat-magin/ge58/player-activity?year=all&matchType=Singles
Eric Fomba,,,,https://www.atptour.com/en/players/eric-fomba/f905/player-activity?year=all&matchType=Singles
Valentin Dimov,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/valentin-dimov/d852/player-activity?year=all&matchType=Singles
Ivo Mijic,,,,https://www.atptour.com/en/players/ivo-mijic/mf54/player-activity?year=all&matchType=Singles
Max De Vroome,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/max-de-vroome/dc07/player-activity?year=all&matchType=Singles
Oliver Marach,"Graz, Austria",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/oliver-marach/m760/player-activity?year=all&matchType=Singles
Nicolas Devilder,"Dax, France",173.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/nicolas-devilder/d469/player-activity?year=all&matchType=Singles
Adam Feeney,"Gosford, Australia",178.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/adam-feeney/f491/player-activity?year=all&matchType=Singles
Alex Bogdanovic,"Belgrade, Serbia",183.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/alex-bogdanovic/b929/player-activity?year=all&matchType=Singles
Josh Goodall,"Basingstoke, Great Britain",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/josh-goodall/g744/player-activity?year=all&matchType=Singles
Ivo Minar,"Prague, Czech Republic",183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/ivo-minar/ma41/player-activity?year=all&matchType=Singles
Pavol Cervenak,Bratislava,191.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/pavol-cervenak/ca22/player-activity?year=all&matchType=Singles
Maximilian Dinslaken,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/maximilian-dinslaken/da17/player-activity?year=all&matchType=Singles
Matheson Klein,,,,https://www.atptour.com/en/players/matheson-klein/ka43/player-activity?year=all&matchType=Singles
Arnaud Clement,"Aix-en-Provence, France",173.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/arnaud-clement/c487/player-activity?year=all&matchType=Singles
Olivier Patience,"Evreux, France",180.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/olivier-patience/p488/player-activity?year=all&matchType=Singles
Simon Cauvard,,,,https://www.atptour.com/en/players/simon-cauvard/cb97/player-activity?year=all&matchType=Singles
James Lemke,"Melbourne, Australia",,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/james-lemke/l900/player-activity?year=all&matchType=Singles
Yuri Schukin,"Kislovodsk, Russia",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/yuri-schukin/s809/player-activity?year=all&matchType=Singles
Stephane Bohli,"Geneva, Switzerland",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/stephane-bohli/b752/player-activity?year=all&matchType=Singles
Andis Juska,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/andis-juska/j259/player-activity?year=all&matchType=Singles
Jamie Baker,"Glasgow, Scotland",183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jamie-baker/ba53/player-activity?year=all&matchType=Singles
Julien Demois,,,,https://www.atptour.com/en/players/julien-demois/db21/player-activity?year=all&matchType=Singles
Xavier Malisse,"Kortrijk, Belgium",185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/xavier-malisse/m680/player-activity?year=all&matchType=Singles
Nikolay Davydenko,"Severodonezk, Ukraine",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/nikolay-davydenko/d402/player-activity?year=all&matchType=Singles
Robert Coman,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/robert-coman/cb76/player-activity?year=all&matchType=Singles
Dominik Meffert,"Mayen, Germany",196.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/dominik-meffert/m836/player-activity?year=all&matchType=Singles
Armel Rancezot,,,,https://www.atptour.com/en/players/armel-rancezot/rc55/player-activity?year=all&matchType=Singles
Steven Moneke,,,,https://www.atptour.com/en/players/steven-moneke/me29/player-activity?year=all&matchType=Singles
Tom Hill,,,,https://www.atptour.com/en/players/tom-hill/hd75/player-activity?year=all&matchType=Singles
Kim Moellers,,,,https://www.atptour.com/en/players/kim-moellers/mm51/player-activity?year=all&matchType=Singles
Maxime Hinnisdaels,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/maxime-hinnisdaels/hb80/player-activity?year=all&matchType=Singles
Nikolai Fidirko,"Olomouc, Czech Republic",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/nikolai-fidirko/f620/player-activity?year=all&matchType=Singles
Thiago Alves,"Sao Jose do Rio Preto, Brazil",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/thiago-alves/a410/player-activity?year=all&matchType=Singles
Igor Kunitsyn,"Vladivostok, Russia",180.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/igor-kunitsyn/k403/player-activity?year=all&matchType=Singles
Jonathan Dasnieres de Veigy,"Nimes, France",175.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/jonathan-dasnieres-de-veigy/d729/player-activity?year=all&matchType=Singles
Bjorn Phau,"Darmstadt, Germany",175.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/bjorn-phau/p436/player-activity?year=all&matchType=Singles
James Blake,"Yonkers, New York, USA",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/james-blake/b676/player-activity?year=all&matchType=Singles
Sergei Bubka,"Donestk, Ukraine",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sergei-bubka/bc11/player-activity?year=all&matchType=Singles
Paradorn Srichaphan,"Bangkok, Thailand",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/paradorn-srichaphan/s675/player-activity?year=all&matchType=Singles
Dimitar Grabul,,,,https://www.atptour.com/en/players/dimitar-grabul/g580/player-activity?year=all&matchType=Singles
Ugo Nastasi,"Thionville, France",185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/ugo-nastasi/n718/player-activity?year=all&matchType=Singles
Rudy Coco,,196.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/rudy-coco/cb36/player-activity?year=all&matchType=Singles
Wesley Koolhof,"Zevenaar, Netherlands",180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/wesley-koolhof/kc41/player-activity?year=all&matchType=Singles
Martin Pedersen,,,,https://www.atptour.com/en/players/martin-pedersen/pb29/player-activity?year=all&matchType=Singles
Matteo Marfia,"Treviso, Italy",183.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/matteo-marfia/mf63/player-activity?year=all&matchType=Singles
Ashley Hewitt,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/ashley-hewitt/ha18/player-activity?year=all&matchType=Singles
Medy Chettar,,,,https://www.atptour.com/en/players/medy-chettar/ce99/player-activity?year=all&matchType=Singles
Mathieu Rodrigues,"Romorantin Lanthenay, France",180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/mathieu-rodrigues/r851/player-activity?year=all&matchType=Singles
Moritz Baumann,"Bielefeld, Germany",188.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/moritz-baumann/bg08/player-activity?year=all&matchType=Singles
Jack Carpenter,,,,https://www.atptour.com/en/players/jack-carpenter/cd30/player-activity?year=all&matchType=Singles
Matthias Wunner,,,,https://www.atptour.com/en/players/matthias-wunner/w655/player-activity?year=all&matchType=Singles
Gregoire Burquier,,,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/gregoire-burquier/bc36/player-activity?year=all&matchType=Singles
Yannick Thivant,Sucy En Brie,180.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/yannick-thivant/t929/player-activity?year=all&matchType=Singles
Evgeny Korolev,"Moscow, Russia",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/evgeny-korolev/k760/player-activity?year=all&matchType=Singles
Michael Lammer,"Kilchberg, Switzerland",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michael-lammer/l523/player-activity?year=all&matchType=Singles
Daniel Smethurst,"Oldham, Great Britain",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/daniel-smethurst/si57/player-activity?year=all&matchType=Singles
Catalin-Ionut Gard,,,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/catalin-ionut-gard/g493/player-activity?year=all&matchType=Singles
Jakub Lustyk,,,,https://www.atptour.com/en/players/jakub-lustyk/l932/player-activity?year=all&matchType=Singles
Florian Reynet,,,,https://www.atptour.com/en/players/florian-reynet/r895/player-activity?year=all&matchType=Singles
Benjamin Ugarte,,,,https://www.atptour.com/en/players/benjamin-ugarte/u125/player-activity?year=all&matchType=Singles
Oliver Golding,"Richmond, England",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/oliver-golding/gc38/player-activity?year=all&matchType=Singles
David Simunek,,,,https://www.atptour.com/en/players/david-simunek/sq24/player-activity?year=all&matchType=Singles
Thomas Giraudeau,"Arcachon, France",178.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/thomas-giraudeau/gc42/player-activity?year=all&matchType=Singles
Chris Guccione,"Melbourne, Australia",201.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/chris-guccione/g621/player-activity?year=all&matchType=Singles
Michael Bois,Saint Jean de Maurienne,188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michael-bois/bi85/player-activity?year=all&matchType=Singles
Greg Ouellette,"Titusville, Florida",178.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/greg-ouellette/o269/player-activity?year=all&matchType=Singles
Teri Groll,"Mulhouse, France",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/teri-groll/gc03/player-activity?year=all&matchType=Singles
Thomas Grinberg,"Paris, France",178.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/thomas-grinberg/ge75/player-activity?year=all&matchType=Singles
Alberto Rojas-Maldonado,"Mexico City, Mexico",175.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/alberto-rojas-maldonado/r916/player-activity?year=all&matchType=Singles
Juan Matias Gonzalez Carrasco,,,,https://www.atptour.com/en/players/juan-matias-gonzalez-carrasco/gc98/player-activity?year=all&matchType=Singles
Pablo Galdon,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/pablo-galdon/g817/player-activity?year=all&matchType=Singles
Maxime Forcin,,,,https://www.atptour.com/en/players/maxime-forcin/f806/player-activity?year=all&matchType=Singles
Artem Sitak,"Orenbourg, Russia",185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/artem-sitak/sd23/player-activity?year=all&matchType=Singles
Laurent Recouderc,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/laurent-recouderc/r628/player-activity?year=all&matchType=Singles
Juho Paukku,,,,https://www.atptour.com/en/players/juho-paukku/pa15/player-activity?year=all&matchType=Singles
Michal Pazicky,"Bratislava, Slovak Republic",,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michal-pazicky/pc53/player-activity?year=all&matchType=Singles
Olivier Rochus,"Namur, Belgium",168.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/olivier-rochus/r397/player-activity?year=all&matchType=Singles
Jacob Adaktusson,"Stockholm, Sweden",193.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jacob-adaktusson/a305/player-activity?year=all&matchType=Singles
Andrei Plotniy,,,,https://www.atptour.com/en/players/andrei-plotniy/pb97/player-activity?year=all&matchType=Singles
Guillermo Hormazabal,,,,https://www.atptour.com/en/players/guillermo-hormazabal/h563/player-activity?year=all&matchType=Singles
Bohdan Ulihrach,"Kolin, Czech Republic",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/bohdan-ulihrach/u032/player-activity?year=all&matchType=Singles
Jeroen Masson,Gent,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jeroen-masson/m867/player-activity?year=all&matchType=Singles
Nicolas Coutelot,"Strasbourg, France",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/nicolas-coutelot/c476/player-activity?year=all&matchType=Singles
Nicolas Todero,La Plata,183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/nicolas-todero/t269/player-activity?year=all&matchType=Singles
Sebastien Grosjean,"Marseille, France",175.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sebastien-grosjean/g379/player-activity?year=all&matchType=Singles
Michel Koning,"Permerand, Holland",,,https://www.atptour.com/en/players/michel-koning/k667/player-activity?year=all&matchType=Singles
Martin Verkerk,"Leiderdorp, The Netherlands",196.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/martin-verkerk/v232/player-activity?year=all&matchType=Singles
Mariano Puerta,"San Francisco (Cordoba), ARG",180.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/mariano-puerta/p372/player-activity?year=all&matchType=Singles
Jonas Bjorkman,"Vaxjo, Sweden",183.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/jonas-bjorkman/b446/player-activity?year=all&matchType=Singles
Thomas Johansson,"Linkoping, Sweden",180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/thomas-johansson/j129/player-activity?year=all&matchType=Singles
Rabie Chaki,,,,https://www.atptour.com/en/players/rabie-chaki/c663/player-activity?year=all&matchType=Singles
Photos Kallias,,,,https://www.atptour.com/en/players/photos-kallias/k528/player-activity?year=all&matchType=Singles
Raphael Durek,"Belo Horizonte, Brazil",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/raphael-durek/d526/player-activity?year=all&matchType=Singles
Jan Vacek,"Prague, Czech Republic",198.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jan-vacek/v220/player-activity?year=all&matchType=Singles
Darko Madjarovski,,,,https://www.atptour.com/en/players/darko-madjarovski/mb07/player-activity?year=all&matchType=Singles
Julien Jeanpierre,"Reniremont, France",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/julien-jeanpierre/j164/player-activity?year=all&matchType=Singles
Jonathan Marray,"Liverpool, England",183.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/jonathan-marray/m983/player-activity?year=all&matchType=Singles
Tomas Zib,"Pisek, Czech Republic",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/tomas-zib/z074/player-activity?year=all&matchType=Singles
Sergio Roitman,"Buenos Aires, Argentina",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/sergio-roitman/r388/player-activity?year=all&matchType=Singles
Fabrice Santoro,Tahiti,178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/fabrice-santoro/s424/player-activity?year=all&matchType=Singles
Michael Kohlmann,"Hagen, Germany",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/michael-kohlmann/k257/player-activity?year=all&matchType=Singles
Matthew Illingworth,,,,https://www.atptour.com/en/players/matthew-illingworth/i232/player-activity?year=all&matchType=Singles
Alec Witmeur,,,,https://www.atptour.com/en/players/alec-witmeur/w606/player-activity?year=all&matchType=Singles
Brian Battistone,"Santa Barbara, CA, USA",191.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/brian-battistone/b765/player-activity?year=all&matchType=Singles
Malte Stropp,,,,https://www.atptour.com/en/players/malte-stropp/sm04/player-activity?year=all&matchType=Singles
Paterne Mamata,,,,https://www.atptour.com/en/players/paterne-mamata/me32/player-activity?year=all&matchType=Singles
Daniele Bracciali,"Arezzo, Italy",178.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/daniele-bracciali/b570/player-activity?year=all&matchType=Singles
Bart Brons,"Bleiswijk, The Netherlands",180.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/bart-brons/bg07/player-activity?year=all&matchType=Singles
Dick Norman,"Waregem, Belgium",203.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/dick-norman/n233/player-activity?year=all&matchType=Singles
Roy Bruggeling,,,,https://www.atptour.com/en/players/roy-bruggeling/bf96/player-activity?year=all&matchType=Singles
Jean-Rene Lisnard,"Cannes, France",173.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/jean-rene-lisnard/l386/player-activity?year=all&matchType=Singles
Charles Roche,,,,https://www.atptour.com/en/players/charles-roche/r546/player-activity?year=all&matchType=Singles
Trystan Meniane,,,,https://www.atptour.com/en/players/trystan-meniane/mc22/player-activity?year=all&matchType=Singles
Frank Wintermantel,,,,https://www.atptour.com/en/players/frank-wintermantel/w480/player-activity?year=all&matchType=Singles
Pierre Metenier,,,,https://www.atptour.com/en/players/pierre-metenier/me86/player-activity?year=all&matchType=Singles
Rodolphe Gilbert,"Brou-sur-Chanteneine, France",183.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/rodolphe-gilbert/g108/player-activity?year=all&matchType=Singles
Federico Raffaelli,,,,https://www.atptour.com/en/players/federico-raffaelli/r921/player-activity?year=all&matchType=Singles
Frederic De Fays,,,,https://www.atptour.com/en/players/frederic-de-fays/d751/player-activity?year=all&matchType=Singles
Mario Dierckx,,,,https://www.atptour.com/en/players/mario-dierckx/d932/player-activity?year=all&matchType=Singles
Marc-Andre Stratling,"Goppingen, Germany",,,https://www.atptour.com/en/players/marc-andre-stratling/sc48/player-activity?year=all&matchType=Singles
Andrei Pavel,"Constanta, Romania",183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/andrei-pavel/p280/player-activity?year=all&matchType=Singles
Marco Pedrini,,,,https://www.atptour.com/en/players/marco-pedrini/p506/player-activity?year=all&matchType=Singles
Kepler Orellana,Barquisimeto,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/kepler-orellana/k338/player-activity?year=all&matchType=Singles
Bas Van der Valk,,,,https://www.atptour.com/en/players/bas-van-der-valk/v396/player-activity?year=all&matchType=Singles
David Skoch,"Brandys, Czech Republic",183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/david-skoch/s552/player-activity?year=all&matchType=Singles
Petar Popovic,"Novi Sad, Serbia",191.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/petar-popovic/p648/player-activity?year=all&matchType=Singles
Lucas Arnold Ker,"Buenos Aires, Argentina",180.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/lucas-arnold-ker/a228/player-activity?year=all&matchType=Singles
Thomas Kromann,,,,https://www.atptour.com/en/players/thomas-kromann/k846/player-activity?year=all&matchType=Singles
Jerome Haehnel,"Mulhouse, France",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jerome-haehnel/h435/player-activity?year=all&matchType=Singles
Ian Flanagan,,,,https://www.atptour.com/en/players/ian-flanagan/f436/player-activity?year=all&matchType=Singles
Dusan Karol,,,,https://www.atptour.com/en/players/dusan-karol/k585/player-activity?year=all&matchType=Singles
Martijn Van Haasteren,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/martijn-van-haasteren/v473/player-activity?year=all&matchType=Singles
Tim Henman,"Oxford, England",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/tim-henman/h336/player-activity?year=all&matchType=Singles
Maxime Bonami,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/maxime-bonami/be03/player-activity?year=all&matchType=Singles
Korneel Sanders,,,,https://www.atptour.com/en/players/korneel-sanders/sl45/player-activity?year=all&matchType=Singles
Andreas Siljestrom,Stockholm,206.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/andreas-siljestrom/sc54/player-activity?year=all&matchType=Singles
Dennis Van Scheppingen,"Mijdrecht, The Netherlands",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/dennis-van-scheppingen/s559/player-activity?year=all&matchType=Singles
Jan Kroslak,"Bratislava, Slovak Republic",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jan-kroslak/k296/player-activity?year=all&matchType=Singles
Romain Bocaert,,,,https://www.atptour.com/en/players/romain-bocaert/bf62/player-activity?year=all&matchType=Singles
Mike Scheidweiler,,188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/mike-scheidweiler/s887/player-activity?year=all&matchType=Singles
Marcus Sarstrand,,183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/marcus-sarstrand/s751/player-activity?year=all&matchType=Singles
Mariano Zabaleta,"Tandil, Argentina",183.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/mariano-zabaleta/z073/player-activity?year=all&matchType=Singles
Ralph Grambow,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/ralph-grambow/g450/player-activity?year=all&matchType=Singles
Adil Shamasdin,"Toronto, Canada",180.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/adil-shamasdin/sb92/player-activity?year=all&matchType=Singles
Guillermo Coria,"Rufino, Argentina",175.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/guillermo-coria/c524/player-activity?year=all&matchType=Singles
Clement Morel,,,,https://www.atptour.com/en/players/clement-morel/mb29/player-activity?year=all&matchType=Singles
Jordane Doble,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jordane-doble/d434/player-activity?year=all&matchType=Singles
Peter Wessels,"Zwolle, The Netherlands",196.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/peter-wessels/w254/player-activity?year=all&matchType=Singles
Henrik Norfeldt,,,,https://www.atptour.com/en/players/henrik-norfeldt/n506/player-activity?year=all&matchType=Singles
Mattia Livraghi,,,,https://www.atptour.com/en/players/mattia-livraghi/l473/player-activity?year=all&matchType=Singles
Juan Albert Viloca-Puig,"Barcelona, Spain",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/juan-albert-viloca-puig/v161/player-activity?year=all&matchType=Singles
Stefan Wauters,,,,https://www.atptour.com/en/players/stefan-wauters/w306/player-activity?year=all&matchType=Singles
Jakub Praibis,,,,https://www.atptour.com/en/players/jakub-praibis/pd16/player-activity?year=all&matchType=Singles
Romano Frantzen,"Den-Haag, Netherlands",185.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romano-frantzen/f473/player-activity?year=all&matchType=Singles
Rodrigo Perez,,,,https://www.atptour.com/en/players/rodrigo-perez/pc21/player-activity?year=all&matchType=Singles
Nikolai Haessig,,,,https://www.atptour.com/en/players/nikolai-haessig/ha11/player-activity?year=all&matchType=Singles
Jannick Lupescu,,,,https://www.atptour.com/en/players/jannick-lupescu/lb54/player-activity?year=all&matchType=Singles
Matthew Pierot,,,,https://www.atptour.com/en/players/matthew-pierot/pe29/player-activity?year=all&matchType=Singles
Enzo Py,,,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/enzo-py/pg39/player-activity?year=all&matchType=Singles
Dario Perez,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/dario-perez/p429/player-activity?year=all&matchType=Singles
Antony Dupuis,"Bayonne, France",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/antony-dupuis/d272/player-activity?year=all&matchType=Singles
James Feaver,,,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/james-feaver/f631/player-activity?year=all&matchType=Singles
Jonas Koenig,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/jonas-koenig/kd54/player-activity?year=all&matchType=Singles
